affiliations.name.en,affiliations.name.no,affiliations.name.se,affiliations.nameNow.en,affiliations.city.en,affiliations.city.no,affiliations.city.se,affiliations.country.en,affiliations.country.no,affiliations.country.se,affiliations.cityNow.en,affiliations.cityNow.no,affiliations.cityNow.se,affiliations.countryNow.en,affiliations.countryNow.no,affiliations.countryNow.se,affiliations.locationString.en,affiliations.locationString.no,affiliations.locationString.se,id,awardYear,category.en
"University of Colorado, JILA","University of Colorado, JILA","University of Colorado, JILA","University of Colorado, JILA","Boulder, CO","Boulder, CO","Boulder, CO",USA,USA,USA,"Boulder, CO","Boulder, CO","Boulder, CO",USA,USA,USA,"Boulder, CO, USA","Boulder, CO, USA","Boulder, CO, USA",738,2001,Physics
Princeton University,Princeton University,Princeton University,Princeton University,"Princeton, NJ","Princeton, NJ","Princeton, NJ",USA,USA,USA,"Princeton, NJ","Princeton, NJ","Princeton, NJ",USA,USA,USA,"Princeton, NJ, USA","Princeton, NJ, USA","Princeton, NJ, USA",454,1995,Physiology or Medicine
Columbia University,Columbia University,Columbia University,Columbia University,"New York, NY","New York, NY","New York, NY",USA,USA,USA,"New York, NY","New York, NY","New York, NY",USA,USA,USA,"New York, NY, USA","New York, NY, USA","New York, NY, USA",724,2000,Physiology or Medicine
Institute for Advanced Study,Institute for Advanced Study,Institute for Advanced Study,Institute for Advanced Study,"Princeton, NJ","Princeton, NJ","Princeton, NJ",USA,USA,USA,"Princeton, NJ","Princeton, NJ","Princeton, NJ",USA,USA,USA,"Princeton, NJ, USA","Princeton, NJ, USA","Princeton, NJ, USA",821,2007,Economic Sciences
University of California,University of California,University of California,University of California,"Berkeley, CA","Berkeley, CA","Berkeley, CA",USA,USA,USA,"Berkeley, CA","Berkeley, CA","Berkeley, CA",USA,USA,USA,"Berkeley, CA, USA","Berkeley, CA, USA","Berkeley, CA, USA",47,1939,Physics
Victoria University,Victoria University,Victoria University,Victoria University,Manchester,Manchester,Manchester,United Kingdom,Storbritannia,Storbritannien,Manchester,Manchester,Manchester,United Kingdom,Storbritannia,Storbritannien,"Manchester, United Kingdom","Manchester, Storbritannia","Manchester, Storbritannien",167,1908,Chemistry
Trinity College,Trinity College,Trinity College,Trinity College,Dublin,Dublin,Dublin,Ireland,Irland,Irland,Dublin,Dublin,Dublin,Ireland,Irland,Irland,"Dublin, Ireland","Dublin, Irland","Dublin, Irland",57,1951,Physics
University of Oxford,University of Oxford,University of Oxford,University of Oxford,Oxford,Oxford,Oxford,United Kingdom,Storbritannia,Storbritannien,Oxford,Oxford,Oxford,United Kingdom,Storbritannia,Storbritannien,"Oxford, United Kingdom","Oxford, Storbritannia","Oxford, Storbritannien",340,1945,Physiology or Medicine
Technical University,Technical University,Technical University,Technical University,Munich,München,München,Germany,Tyskland,Tyskland,Munich,München,München,Germany,Tyskland,Tyskland,"Munich, Germany","München, Tyskland","München, Tyskland",244,1973,Chemistry
Fritz-Haber-Institut der Max-Planck-Gesellschaft,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Berlin,Berlin,Germany,Tyskland,Tyskland,Berlin,Berlin,Berlin,Germany,Tyskland,Tyskland,"Berlin, Germany","Berlin, Tyskland","Berlin, Tyskland",127,1986,Physics
Max-Planck-Institut für Biophysikalische Chemie,Max-Planck-Institut für Biophysikalische Chemie,Max-Planck-Institut für Biophysikalische Chemie,Max-Planck-Institut für Biophysikalische Chemie,Göttingen,Göttingen,Göttingen,Germany,Tyskland,Tyskland,Göttingen,Göttingen,Göttingen,Germany,Tyskland,Tyskland,"Göttingen, Germany","Göttingen, Tyskland","Göttingen, Tyskland",444,1991,Physiology or Medicine
Berlin University,Berlin University,Berlin University,Berlin University,Berlin,Berlin,Berlin,Germany,Tyskland,Tyskland,Berlin,Berlin,Berlin,Germany,Tyskland,Tyskland,"Berlin, Germany","Berlin, Tyskland","Berlin, Tyskland",39,1933,Physics
Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA, USA","Cambridge, MA, USA","Cambridge, MA, USA",983,2019,Economic Sciences
University of Chicago,University of Chicago,University of Chicago,University of Chicago,"Chicago, IL","Chicago, IL","Chicago, IL",USA,USA,USA,"Chicago, IL","Chicago, IL","Chicago, IL",USA,USA,USA,"Chicago, IL, USA","Chicago, IL, USA","Chicago, IL, USA",894,2013,Economic Sciences
Princeton University,Princeton University,Princeton University,Princeton University,"Princeton, NJ","Princeton, NJ","Princeton, NJ",USA,USA,USA,"Princeton, NJ","Princeton, NJ","Princeton, NJ",USA,USA,USA,"Princeton, NJ, USA","Princeton, NJ, USA","Princeton, NJ, USA",78,1963,Physics
Princeton University,Princeton University,Princeton University,Princeton University,"Princeton, NJ","Princeton, NJ","Princeton, NJ",USA,USA,USA,"Princeton, NJ","Princeton, NJ","Princeton, NJ",USA,USA,USA,"Princeton, NJ, USA","Princeton, NJ, USA","Princeton, NJ, USA",929,2016,Physics
University of California,University of California,University of California,University of California,"Irvine, CA","Irvine, CA","Irvine, CA",USA,USA,USA,"Irvine, CA","Irvine, CA","Irvine, CA",USA,USA,USA,"Irvine, CA, USA","Irvine, CA, USA","Irvine, CA, USA",283,1995,Chemistry
Stanford University,Stanford University,Stanford University,Stanford University,"Stanford, CA","Stanford, CA","Stanford, CA",USA,USA,USA,"Stanford, CA","Stanford, CA","Stanford, CA",USA,USA,USA,"Stanford, CA, USA","Stanford, CA, USA","Stanford, CA, USA",58,1952,Physics
Max-Planck-Institut für Zellchemie,Max-Planck-Institut für Zellchemie,Max-Planck-Institut für Zellchemie,Max-Planck-Institut für Zellchemie,Munich,München,München,Germany,Tyskland,Tyskland,Munich,München,München,Germany,Tyskland,Tyskland,"Munich, Germany","München, Tyskland","München, Tyskland",379,1964,Physiology or Medicine
Strasbourg University,Strasbourg University,Strasbourg University,Strasbourg University,Strasbourg,Strasbourg,Strasbourg,Germany,Tyskland,Tyskland,Strasbourg,Strasbourg,Strasbourg,France,Frankrike,Frankrike,"Strasbourg, Germany (now France)","Strasbourg, Tyskland (nå Frankrike)","Strasbourg, Tyskland (nu Frankrike)",14,1909,Physics
University of Texas Medical School at Houston,University of Texas Medical School at Houston,University of Texas Medical School at Houston,University of Texas Medical School at Houston,"Houston, TX","Houston, TX","Houston, TX",USA,USA,USA,"Houston, TX","Houston, TX","Houston, TX",USA,USA,USA,"Houston, TX, USA","Houston, TX, USA","Houston, TX, USA",460,1998,Physiology or Medicine
Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,Carnegie Mellon University,"Pittsburgh, PA","Pittsburgh, PA","Pittsburgh, PA",USA,USA,USA,"Pittsburgh, PA","Pittsburgh, PA","Pittsburgh, PA",USA,USA,USA,"Pittsburgh, PA, USA","Pittsburgh, PA, USA","Pittsburgh, PA, USA",786,2004,Economic Sciences
University of California,University of California,University of California,University of California,"Santa Barbara, CA","Santa Barbara, CA","Santa Barbara, CA",USA,USA,USA,"Santa Barbara, CA","Santa Barbara, CA","Santa Barbara, CA",USA,USA,USA,"Santa Barbara, CA, USA","Santa Barbara, CA, USA","Santa Barbara, CA, USA",786,2004,Economic Sciences
California Institute of Technology (Caltech),California Institute of Technology (Caltech),California Institute of Technology (Caltech),California Institute of Technology (Caltech),"Pasadena, CA","Pasadena, CA","Pasadena, CA",USA,USA,USA,"Pasadena, CA","Pasadena, CA","Pasadena, CA",USA,USA,USA,"Pasadena, CA, USA","Pasadena, CA, USA","Pasadena, CA, USA",963,2018,Chemistry
MRC Laboratory of Molecular Biology,MRC Laboratory of Molecular Biology,MRC Laboratory of Molecular Biology,MRC Laboratory of Molecular Biology,Cambridge,Cambridge,Cambridge,United Kingdom,Storbritannia,Storbritannien,Cambridge,Cambridge,Cambridge,United Kingdom,Storbritannia,Storbritannien,"Cambridge, United Kingdom","Cambridge, Storbritannia","Cambridge, Storbritannien",372,1962,Physiology or Medicine
University of Cambridge,University of Cambridge,University of Cambridge,University of Cambridge,Cambridge,Cambridge,Cambridge,United Kingdom,Storbritannia,Storbritannien,Cambridge,Cambridge,Cambridge,United Kingdom,Storbritannia,Storbritannien,"Cambridge, United Kingdom","Cambridge, Storbritannia","Cambridge, Storbritannien",180,1922,Chemistry
Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA, USA","Cambridge, MA, USA","Cambridge, MA, USA",699,1985,Economic Sciences
Université Libre de Bruxelles,Université Libre de Bruxelles,Université Libre de Bruxelles,Université Libre de Bruxelles,Brussels,Brussel,Bryssel,Belgium,Belgia,Belgien,Brussels,Brussel,Bryssel,Belgium,Belgia,Belgien,"Brussels, Belgium","Brussel, Belgia","Bryssel, Belgien",887,2013,Physics
Institut Pasteur,Institut Pasteur,Institut Pasteur,Institut Pasteur,Paris,Paris,Paris,France,Frankrike,Frankrike,Paris,Paris,Paris,France,Frankrike,Frankrike,"Paris, France","Paris, Frankrike","Paris, Frankrike",380,1965,Physiology or Medicine
"Regulation of Retroviral Infections Unit, Virology Department, Institut Pasteur","Regulation of Retroviral Infections Unit, Virology Department, Institut Pasteur","Regulation of Retroviral Infections Unit, Virology Department, Institut Pasteur","Regulation of Retroviral Infections Unit, Virology Department, Institut Pasteur",Paris,Paris,Paris,France,Frankrike,Frankrike,Paris,Paris,Paris,France,Frankrike,Frankrike,"Paris, France","Paris, Frankrike","Paris, Frankrike",824,2008,Physiology or Medicine
Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),Massachusetts Institute of Technology (MIT),"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA, USA","Cambridge, MA, USA","Cambridge, MA, USA",778,2004,Physics
Institut du Radium,Institut du Radium,Institut du Radium,Institut du Radium,Paris,Paris,Paris,France,Frankrike,Frankrike,Paris,Paris,Paris,France,Frankrike,Frankrike,"Paris, France","Paris, Frankrike","Paris, Frankrike",193,1935,Chemistry
Western Reserve University,Western Reserve University,Western Reserve University,Western Reserve University,"Cleveland, OH","Cleveland, OH","Cleveland, OH",USA,USA,USA,"Cleveland, OH","Cleveland, OH","Cleveland, OH",USA,USA,USA,"Cleveland, OH, USA","Cleveland, OH, USA","Cleveland, OH, USA",358,1954,Physiology or Medicine
University of Toronto,University of Toronto,University of Toronto,University of Toronto,Toronto,Toronto,Toronto,Canada,Canada,Kanada,Toronto,Toronto,Toronto,Canada,Canada,Kanada,"Toronto, Canada","Toronto, Canada","Toronto, Kanada",313,1923,Physiology or Medicine
University of California,University of California,University of California,University of California,"Irvine, CA","Irvine, CA","Irvine, CA",USA,USA,USA,"Irvine, CA","Irvine, CA","Irvine, CA",USA,USA,USA,"Irvine, CA, USA","Irvine, CA, USA","Irvine, CA, USA",148,1995,Physics
University of Cambridge,University of Cambridge,University of Cambridge,University of Cambridge,Cambridge,Cambridge,Cambridge,United Kingdom,Storbritannia,Storbritannien,Cambridge,Cambridge,Cambridge,United Kingdom,Storbritannia,Storbritannien,"Cambridge, United Kingdom","Cambridge, Storbritannia","Cambridge, Storbritannien",222,1958,Chemistry
MRC Laboratory of Molecular Biology,MRC Laboratory of Molecular Biology,MRC Laboratory of Molecular Biology,MRC Laboratory of Molecular Biology,Cambridge,Cambridge,Cambridge,United Kingdom,Storbritannia,Storbritannien,Cambridge,Cambridge,Cambridge,United Kingdom,Storbritannia,Storbritannien,"Cambridge, United Kingdom","Cambridge, Storbritannia","Cambridge, Storbritannien",222,1980,Chemistry
University of Oxford,University of Oxford,University of Oxford,University of Oxford,Oxford,Oxford,Oxford,United Kingdom,Storbritannia,Storbritannien,Oxford,Oxford,Oxford,United Kingdom,Storbritannia,Storbritannien,"Oxford, United Kingdom","Oxford, Storbritannia","Oxford, Storbritannien",179,1921,Chemistry
University of Heidelberg,University of Heidelberg,University of Heidelberg,University of Heidelberg,Heidelberg,Heidelberg,Heidelberg,Germany,Tyskland,Tyskland,Heidelberg,Heidelberg,Heidelberg,Germany,Tyskland,Tyskland,"Heidelberg, Germany","Heidelberg, Tyskland","Heidelberg, Tyskland",190,1931,Chemistry
I.G. Farbenindustrie A.G.,I.G. Farbenindustrie A.G.,I.G. Farbenindustrie A.G.,I.G. Farbenindustrie A.G.,Mannheim-Rheinau,Mannheim-Rheinau,Mannheim-Rheinau,Germany,Tyskland,Tyskland,Mannheim-Rheinau,Mannheim-Rheinau,Mannheim-Rheinau,Germany,Tyskland,Tyskland,"Mannheim-Rheinau, Germany","Mannheim-Rheinau, Tyskland","Mannheim-Rheinau, Tyskland",190,1931,Chemistry
Groningen University,Groningen University,Groningen University,Groningen University,Groningen,Groningen,Groningen,the Netherlands,Nederland,Nederländerna,Groningen,Groningen,Groningen,the Netherlands,Nederland,Nederländerna,"Groningen, the Netherlands","Groningen, Nederland","Groningen, Nederländerna",60,1953,Physics
Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Berlin-Dahlem,Berlin-Dahlem,Germany,Tyskland,Tyskland,Berlin-Dahlem,Berlin-Dahlem,Berlin-Dahlem,Germany,Tyskland,Tyskland,"Berlin-Dahlem, Germany","Berlin-Dahlem, Tyskland","Berlin-Dahlem, Tyskland",177,1918,Chemistry
Harvard Medical School,Harvard Medical School,Harvard Medical School,Harvard Medical School,"Boston, MA","Boston, MA","Boston, MA",USA,USA,USA,"Boston, MA","Boston, MA","Boston, MA",USA,USA,USA,"Boston, MA, USA","Boston, MA, USA","Boston, MA, USA",355,1953,Physiology or Medicine
Massachusetts General Hospital,Massachusetts General Hospital,Massachusetts General Hospital,Massachusetts General Hospital,"Boston, MA","Boston, MA","Boston, MA",USA,USA,USA,"Boston, MA","Boston, MA","Boston, MA",USA,USA,USA,"Boston, MA, USA","Boston, MA, USA","Boston, MA, USA",355,1953,Physiology or Medicine
Graz University,Graz University,Graz University,Graz University,Graz,Graz,Graz,Austria,Østerrike,Österrike,Graz,Graz,Graz,Austria,Østerrike,Österrike,"Graz, Austria","Graz, Østerrike","Graz, Österrike",181,1923,Chemistry
Sorbonne University,Sorbonne University,Sorbonne University,Sorbonne University,Paris,Paris,Paris,France,Frankrike,Frankrike,Paris,Paris,Paris,France,Frankrike,Frankrike,"Paris, France","Paris, Frankrike","Paris, Frankrike",12,1908,Physics
University of Chicago,University of Chicago,University of Chicago,University of Chicago,"Chicago, IL","Chicago, IL","Chicago, IL",USA,USA,USA,"Chicago, IL","Chicago, IL","Chicago, IL",USA,USA,USA,"Chicago, IL, USA","Chicago, IL, USA","Chicago, IL, USA",708,1992,Economic Sciences
Imperial College,Imperial College,Imperial College,Imperial College,London,London,London,United Kingdom,Storbritannia,Storbritannien,London,London,London,United Kingdom,Storbritannia,Storbritannien,"London, United Kingdom","London, Storbritannia","London, Storbritannien",245,1973,Chemistry
Harvard University,Harvard University,Harvard University,Harvard University,"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA, USA","Cambridge, MA, USA","Cambridge, MA, USA",371,1961,Physiology or Medicine
University of Heidelberg,University of Heidelberg,University of Heidelberg,University of Heidelberg,Heidelberg,Heidelberg,Heidelberg,Germany,Tyskland,Tyskland,Heidelberg,Heidelberg,Heidelberg,Germany,Tyskland,Tyskland,"Heidelberg, Germany","Heidelberg, Tyskland","Heidelberg, Tyskland",253,1979,Chemistry
University of California,University of California,University of California,University of California,"Berkeley, CA","Berkeley, CA","Berkeley, CA",USA,USA,USA,"Berkeley, CA","Berkeley, CA","Berkeley, CA",USA,USA,USA,"Berkeley, CA, USA","Berkeley, CA, USA","Berkeley, CA, USA",744,2001,Economic Sciences
University of Southern California,University of Southern California,University of Southern California,University of Southern California,"Los Angeles, CA","Los Angeles, CA","Los Angeles, CA",USA,USA,USA,"Los Angeles, CA","Los Angeles, CA","Los Angeles, CA",USA,USA,USA,"Los Angeles, CA, USA","Los Angeles, CA, USA","Los Angeles, CA, USA",280,1994,Chemistry
California Institute of Technology (Caltech),California Institute of Technology (Caltech),California Institute of Technology (Caltech),California Institute of Technology (Caltech),"Pasadena, CA","Pasadena, CA","Pasadena, CA",USA,USA,USA,"Pasadena, CA","Pasadena, CA","Pasadena, CA",USA,USA,USA,"Pasadena, CA, USA","Pasadena, CA, USA","Pasadena, CA, USA",364,1958,Physiology or Medicine
Jackson Laboratory,Jackson Laboratory,Jackson Laboratory,Jackson Laboratory,"Bar Harbor, ME","bar Harbor, ME","Bar Harbor, ME",USA,USA,USA,"Bar Harbor, ME","bar Harbor, ME","Bar Harbor, ME",USA,USA,USA,"Bar Harbor, ME, USA","bar Harbor, ME, USA","Bar Harbor, ME, USA",421,1980,Physiology or Medicine
Stockholm University,Stockholm University,Stockholm University,Stockholm University,Stockholm,Stockholm,Stockholm,Sweden,Sverige,Sverige,Stockholm,Stockholm,Stockholm,Sweden,Sverige,Sverige,"Stockholm, Sweden","Stockholm, Sverige","Stockholm, Sverige",201,1943,Chemistry
"Yale University, School of Medicine","Yale University, School of Medicine","Yale University, School of Medicine","Yale University, School of Medicine","New Haven, CT","New Haven, CT","New Haven, CT",USA,USA,USA,"New Haven, CT","New Haven, CT","New Haven, CT",USA,USA,USA,"New Haven, CT, USA","New Haven, CT, USA","New Haven, CT, USA",405,1974,Physiology or Medicine
Bell Laboratories,Bell Laboratories,Bell Laboratories,Bell Laboratories,"Murray Hill, NJ","Murray Hill, NJ","Murray Hill, NJ",USA,USA,USA,"Murray Hill, NJ","Murray Hill, NJ","Murray Hill, NJ",USA,USA,USA,"Murray Hill, NJ, USA","Murray Hill, NJ, USA","Murray Hill, NJ, USA",840,2009,Physics
University of California,University of California,University of California,University of California,"Berkeley, CA","Berkeley, CA","Berkeley, CA",USA,USA,USA,"Berkeley, CA","Berkeley, CA","Berkeley, CA",USA,USA,USA,"Berkeley, CA, USA","Berkeley, CA, USA","Berkeley, CA, USA",805,2006,Physics
Wellcome Research Laboratories,Wellcome Research Laboratories,Wellcome Research Laboratories,Wellcome Research Laboratories,"Research Triangle Park, NC","forskning Triangle Park, NC","Research Triangle Park, NC",USA,USA,USA,"Research Triangle Park, NC","forskning Triangle Park, NC","Research Triangle Park, NC",USA,USA,USA,"Research Triangle Park, NC, USA","forskning Triangle Park, NC, USA","Research Triangle Park, NC, USA",439,1988,Physiology or Medicine
University of Rochester,University of Rochester,University of Rochester,University of Rochester,"Rochester, NY","Rochester, NY","Rochester, NY",USA,USA,USA,"Rochester, NY","Rochester, NY","Rochester, NY",USA,USA,USA,"Rochester, NY, USA","Rochester, NY, USA","Rochester, NY, USA",326,1934,Physiology or Medicine
University of Chicago,University of Chicago,University of Chicago,University of Chicago,"Chicago, IL","Chicago, IL","Chicago, IL",USA,USA,USA,"Chicago, IL","Chicago, IL","Chicago, IL",USA,USA,USA,"Chicago, IL, USA","Chicago, IL, USA","Chicago, IL, USA",696,1982,Economic Sciences
University of Missouri,University of Missouri,University of Missouri,University of Missouri,Columbia,Columbia,Columbia,USA,USA,USA,Columbia,Columbia,Columbia,USA,USA,USA,"Columbia, USA","Columbia, USA","Columbia, USA",964,2018,Chemistry
London University,London University,London University,London University,London,London,London,United Kingdom,Storbritannia,Storbritannien,London,London,London,United Kingdom,Storbritannia,Storbritannien,"London, United Kingdom","London, Storbritannia","London, Storbritannien",45,1937,Physics
Royal Institution of Great Britain,Royal Institution of Great Britain,Royal Institution of Great Britain,Royal Institution of Great Britain,London,London,London,United Kingdom,Storbritannia,Storbritannien,London,London,London,United Kingdom,Storbritannia,Storbritannien,"London, United Kingdom","London, Storbritannia","London, Storbritannien",235,1967,Chemistry
Harvard University,Harvard University,Harvard University,Harvard University,"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA, USA","Cambridge, MA, USA","Cambridge, MA, USA",327,1934,Physiology or Medicine
Harvard University,Harvard University,Harvard University,Harvard University,"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA","Cambridge, MA","Cambridge, MA",USA,USA,USA,"Cambridge, MA, USA","Cambridge, MA, USA","Cambridge, MA, USA",387,1967,Physiology or Medicine
École Supérieure de Physique et Chimie,École Supérieure de Physique et Chimie,École Supérieure de Physique et Chimie,École Supérieure de Physique et Chimie,Paris,Paris,Paris,France,Frankrike,Frankrike,Paris,Paris,Paris,France,Frankrike,Frankrike,"Paris, France","Paris, Frankrike","Paris, Frankrike",142,1992,Physics
CERN,CERN,CERN,CERN,Geneva,Genève,Genève,Switzerland,Sveits,Schweiz,Geneva,Genève,Genève,Switzerland,Sveits,Schweiz,"Geneva, Switzerland","Genève, Sveits","Genève, Schweiz",142,1992,Physics
Basel Institute for Immunology,Basel Institute for Immunology,Basel Institute for Immunology,Basel Institute for Immunology,Basel,Basel,Basel,Switzerland,Sveits,Schweiz,Basel,Basel,Basel,Switzerland,Sveits,Schweiz,"Basel, Switzerland","Basel, Sveits","Basel, Schweiz",430,1984,Physiology or Medicine
Rockefeller University,Rockefeller University,Rockefeller University,Rockefeller University,"New York, NY","New York, NY","New York, NY",USA,USA,USA,"New York, NY","New York, NY","New York, NY",USA,USA,USA,"New York, NY, USA","New York, NY, USA","New York, NY, USA",398,1972,Physiology or Medicine
University of California,University of California,University of California,University of California,"Berkeley, CA","Berkeley, CA","Berkeley, CA",USA,USA,USA,"Berkeley, CA","Berkeley, CA","Berkeley, CA",USA,USA,USA,"Berkeley, CA, USA","Berkeley, CA, USA","Berkeley, CA, USA",697,1983,Economic Sciences
École Polytechnique,École Polytechnique,École Polytechnique,École Polytechnique,Palaiseau,Palaiseau,Palaiseau,France,Frankrike,Frankrike,Palaiseau,Palaiseau,Palaiseau,France,Frankrike,Frankrike,"Palaiseau, France","Palaiseau, Frankrike","Palaiseau, Frankrike",961,2018,Physics
University of Michigan,University of Michigan,University of Michigan,University of Michigan,"Ann Arbor, MI","Ann Arbor, MI","Ann Arbor, MI",USA,USA,USA,"Ann Arbor, MI","Ann Arbor, MI","Ann Arbor, MI",USA,USA,USA,"Ann Arbor, MI, USA","Ann Arbor, MI, USA","Ann Arbor, MI, USA",961,2018,Physics
Utrecht University,Utrecht University,Utrecht University,Utrecht University,Utrecht,Utrecht,Utrecht,the Netherlands,Nederland,Nederländerna,Utrecht,Utrecht,Utrecht,the Netherlands,Nederland,Nederländerna,"Utrecht, the Netherlands","Utrecht, Nederland","Utrecht, Nederländerna",158,1999,Physics
IBM Zurich Research Laboratory,IBM Zurich Research Laboratory,IBM Zurich Research Laboratory,IBM Zurich Research Laboratory,Rüschlikon,Rüschlikon,Rüschlikon,Switzerland,Sveits,Schweiz,Rüschlikon,Rüschlikon,Rüschlikon,Switzerland,Sveits,Schweiz,"Rüschlikon, Switzerland","Rüschlikon, Sveits","Rüschlikon, Schweiz",128,1986,Physics
Munster University,Munster University,Munster University,Munster University,Munster,Munster,Munster,Germany,Tyskland,Tyskland,Munster,Munster,Munster,Germany,Tyskland,Tyskland,"Munster, Germany","Munster, Tyskland","Munster, Tyskland",334,1939,Physiology or Medicine
Fritz-Haber-Institut der Max-Planck-Gesellschaft,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,Berlin,Berlin,Germany,Tyskland,Tyskland,Berlin,Berlin,Berlin,Germany,Tyskland,Tyskland,"Berlin, Germany","Berlin, Tyskland","Berlin, Tyskland",816,2007,Chemistry
National Research Council of Canada,National Research Council of Canada,National Research Council of Canada,National Research Council of Canada,Ottawa,Ottawa,Ottawa,Canada,Canada,Kanada,Ottawa,Ottawa,Ottawa,Canada,Canada,Kanada,"Ottawa, Canada","Ottawa, Canada","Ottawa, Kanada",240,1971,Chemistry
Wellcome Research Laboratories,Wellcome Research Laboratories,Wellcome Research Laboratories,Wellcome Research Laboratories,"Research Triangle Park, NC","forskning Triangle Park, NC","Research Triangle Park, NC",USA,USA,USA,"Research Triangle Park, NC","forskning Triangle Park, NC","Research Triangle Park, NC",USA,USA,USA,"Research Triangle Park, NC, USA","forskning Triangle Park, NC, USA","Research Triangle Park, NC, USA",438,1988,Physiology or Medicine
Washington University,Washington University,Washington University,Washington University,"St. Louis, MO","St. Louis, MO","St. Louis, MO",USA,USA,USA,"St. Louis, MO","St. Louis, MO","St. Louis, MO",USA,USA,USA,"St. Louis, MO, USA","St. Louis, MO, USA","St. Louis, MO, USA",344,1947,Physiology or Medicine
Institute of Technology,Institute of Technology,Institute of Technology,Institute of Technology,Milan,Milano,Milano,Italy,Italia,Italien,Milan,Milano,Milano,Italy,Italia,Italien,"Milan, Italy","Milano, Italia","Milano, Italien",229,1963,Chemistry
University of California,University of California,University of California,University of California,"Berkeley, CA","Berkeley, CA","Berkeley, CA",USA,USA,USA,"Berkeley, CA","Berkeley, CA","Berkeley, CA",USA,USA,USA,"Berkeley, CA, USA","Berkeley, CA, USA","Berkeley, CA, USA",213,1951,Chemistry
"Central Research Laboratories, EMI","Central Research Laboratories, EMI","Central Research Laboratories, EMI","Central Research Laboratories, EMI",London,London,London,United Kingdom,Storbritannia,Storbritannien,London,London,London,United Kingdom,Storbritannia,Storbritannien,"London, United Kingdom","London, Storbritannia","London, Storbritannien",418,1979,Physiology or Medicine
Johns Hopkins University,Johns Hopkins University,Johns Hopkins University,Johns Hopkins University,"Baltimore, MD","Baltimore, MD","Baltimore, MD",USA,USA,USA,"Baltimore, MD","Baltimore, MD","Baltimore, MD",USA,USA,USA,"Baltimore, MD, USA","Baltimore, MD, USA","Baltimore, MD, USA",972,2019,Physiology or Medicine
Marconi Wireless Telegraph Co. Ltd.,Marconi Wireless Telegraph Co. Ltd.,Marconi Wireless Telegraph Co. Ltd.,Marconi Wireless Telegraph Co. Ltd.,London,London,London,United Kingdom,Storbritannia,Storbritannien,London,London,London,United Kingdom,Storbritannia,Storbritannien,"London, United Kingdom","London, Storbritannia","London, Storbritannien",13,1909,Physics
Rockefeller University,Rockefeller University,Rockefeller University,Rockefeller University,"New York, NY","New York, NY","New York, NY",USA,USA,USA,"New York, NY","New York, NY","New York, NY",USA,USA,USA,"New York, NY, USA","New York, NY, USA","New York, NY, USA",461,1999,Physiology or Medicine
Howard Hughes Medical Institute,Howard Hughes Medical Institute,Howard Hughes Medical Institute,Howard Hughes Medical Institute,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,N/A,461,1999,Physiology or Medicine
