id,gender,nativeName,acronym,penName,knownName.en,knownName.se,knownName.no,givenName.en,givenName.se,givenName.no,familyName.en,familyName.se,familyName.no,fullName.en,fullName.se,fullName.no,birth.date,birth.place.city.en,birth.place.city.no,birth.place.city.se,birth.place.country.en,birth.place.country.no,birth.place.country.se,birth.place.cityNow.en,birth.place.cityNow.no,birth.place.cityNow.se,birth.place.countryNow.en,birth.place.countryNow.no,birth.place.countryNow.se,birth.place.continent.en,birth.place.locationString.en,birth.place.locationString.no,birth.place.locationString.se,wikipedia.slug,wikipedia.english,wikidata.id,wikidata.url,links.rel,links.href,links.action,links.types,death.date,death.place.city.en,death.place.city.no,death.place.city.se,death.place.country.en,death.place.country.no,death.place.country.se,death.place.cityNow.en,death.place.cityNow.no,death.place.cityNow.se,death.place.countryNow.en,death.place.countryNow.no,death.place.countryNow.se,death.place.continent.en,death.place.locationString.en,death.place.locationString.no,death.place.locationString.se,orgName.en,orgName.se,orgName.no,founded.date,founded.place.city.en,founded.place.city.no,founded.place.city.se,founded.place.country.en,founded.place.country.no,founded.place.country.se,founded.place.cityNow.en,founded.place.cityNow.no,founded.place.cityNow.se,founded.place.countryNow.en,founded.place.countryNow.no,founded.place.countryNow.se,founded.place.continent.en,founded.place.locationString.en,founded.place.locationString.no,founded.place.locationString.se,birthCountry.en,birthCountry.no,birthCountry.se,birthCountryNow.en,birthCountryNow.no,birthCountryNow.se,birthContinent.en
271,male,NA,NA,NA,Robert Huber,Robert Huber,NA,Robert,Robert,NA,Huber,Huber,NA,Robert Huber,Robert Huber,NA,1937-02-20,Munich,München,München,Germany,Tyskland,Tyskland,Munich,München,München,Germany,Tyskland,Tyskland,Europe,"Munich, Germany","München, Tyskland","München, Tyskland",Robert_Huber,https://en.wikipedia.org/wiki/Robert_Huber,Q76623,https://www.wikidata.org/wiki/Q76623,laureate,https://api.nobelprize.org/2/laureate/271,Get,application/json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
799,male,NA,NA,NA,Robert J. Aumann,Robert J. Aumann,NA,Robert J.,Robert J.,NA,Aumann,Aumann,NA,Robert J. Aumann,Robert J. Aumann,NA,1930-06-08,Frankfurt-on-the-Main,Frankfurt am Main,Frankfurt am Main,Germany,Tyskland,Tyskland,Frankfurt-on-the-Main,Frankfurt am Main,Frankfurt am Main,Germany,Tyskland,Tyskland,Europe,"Frankfurt-on-the-Main, Germany","Frankfurt am Main, Tyskland","Frankfurt am Main, Tyskland",Robert_Aumann,https://en.wikipedia.org/wiki/Robert_Aumann,Q157235,https://www.wikidata.org/wiki/Q157235,laureate,https://api.nobelprize.org/2/laureate/799,Get,application/json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
878,male,NA,NA,NA,Robert J. Lefkowitz,Robert J. Lefkowitz,NA,Robert J.,Robert J.,NA,Lefkowitz,Lefkowitz,NA,Robert J. Lefkowitz,Robert J. Lefkowitz,NA,1943-04-15,"New York, NY","New York, NY","New York, NY",USA,USA,USA,"New York, NY","New York, NY","New York, NY",USA,USA,USA,North America,"New York, NY, USA","New York, NY, USA","New York, NY, USA",Robert_Lefkowitz,https://en.wikipedia.org/wiki/Robert_Lefkowitz,Q80910,https://www.wikidata.org/wiki/Q80910,laureate,https://api.nobelprize.org/2/laureate/878,Get,application/json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
896,male,NA,NA,NA,Robert J. Shiller,Robert J. Shiller,NA,Robert J.,Robert J.,NA,Shiller,Shiller,NA,Robert J. Shiller,Robert J. Shiller,NA,1946-03-29,"Detroit, MI","Detroit, MI","Detroit, MI",USA,USA,USA,"Detroit, MI","Detroit, MI","Detroit, MI",USA,USA,USA,North America,"Detroit, MI, USA","Detroit, MI, USA","Detroit, MI, USA",Robert_J._Shiller,https://en.wikipedia.org/wiki/Robert_J._Shiller,Q338151,https://www.wikidata.org/wiki/Q338151,laureate,https://api.nobelprize.org/2/laureate/896,Get,application/json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,male,NA,NA,NA,Robert Koch,Robert Koch,NA,Robert,Robert,NA,Koch,Koch,NA,Robert Koch,Robert Koch,NA,1843-12-11,Clausthal,Clausthal,Clausthal,Germany,Tyskland,Tyskland,Clausthal-Zellerfeld,Clausthal-Zellerfeld,Clausthal-Zellerfeld,Germany,Tyskland,Tyskland,Europe,"Clausthal (now Clausthal-Zellerfeld), Germany","Clausthal (nå Clausthal-Zellerfeld), Tyskland","Clausthal (nu Clausthal-Zellerfeld), Tyskland",Robert_Koch,https://en.wikipedia.org/wiki/Robert_Koch,Q37193,https://www.wikidata.org/wiki/Q37193,laureate,https://api.nobelprize.org/2/laureate/297,Get,application/json,1910-05-27,Baden-Baden,Baden-Baden,Baden-Baden,Germany,Tyskland,Tyskland,Baden-Baden,Baden-Baden,Baden-Baden,Germany,Tyskland,Tyskland,Europe,"Baden-Baden, Germany","Baden-Baden, Tyskland","Baden-Baden, Tyskland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
701,male,NA,NA,NA,Robert M. Solow,Robert M. Solow,NA,Robert M.,Robert M.,NA,Solow,Solow,NA,Robert M. Solow,Robert M. Solow,NA,1924-08-23,"Brooklyn, NY","Brooklyn, NY","Brooklyn, NY",USA,USA,USA,"Brooklyn, NY","Brooklyn, NY","Brooklyn, NY",USA,USA,USA,North America,"Brooklyn, NY, USA","Brooklyn, NY, USA","Brooklyn, NY, USA",Robert_Solow,https://en.wikipedia.org/wiki/Robert_Solow,Q157268,https://www.wikidata.org/wiki/Q157268,laureate,https://api.nobelprize.org/2/laureate/701,Get,application/json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
720,male,NA,NA,NA,Robert Mundell,Robert Mundell,NA,Robert,Robert,NA,Mundell,Mundell,NA,Robert A. Mundell,Robert A. Mundell,NA,1932-10-24,"Kingston, ON","Kingston, ON","Kingston, ON",Canada,Canada,Kanada,"Kingston, ON","Kingston, ON","Kingston, ON",Canada,Canada,Kanada,North America,"Kingston, ON, Canada","Kingston, ON, Canada","Kingston, ON, Kanada",Robert_Mundell,https://en.wikipedia.org/wiki/Robert_Mundell,Q219721,https://www.wikidata.org/wiki/Q219721,laureate,https://api.nobelprize.org/2/laureate/720,Get,application/json,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,male,NA,NA,NA,Robert S. Mulliken,Robert S. Mulliken,NA,Robert S.,Robert S.,NA,Mulliken,Mulliken,NA,Robert S. Mulliken,Robert S. Mulliken,NA,1896-06-07,"Newburyport, MA","Newburyport, MA","Newburyport, MA",USA,USA,USA,"Newburyport, MA","Newburyport, MA","Newburyport, MA",USA,USA,USA,North America,"Newburyport, MA, USA","Newburyport, MA, USA","Newburyport, MA, USA",Robert_S._Mulliken,https://en.wikipedia.org/wiki/Robert_S._Mulliken,Q233355,https://www.wikidata.org/wiki/Q233355,laureate,https://api.nobelprize.org/2/laureate/232,Get,application/json,1986-10-31,"Arlington, VA","Arlington, VA","Arlington, VA",USA,USA,USA,"Arlington, VA","Arlington, VA","Arlington, VA",USA,USA,USA,North America,"Arlington, VA, USA","Arlington, VA, USA","Arlington, VA, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,male,NA,NA,NA,Robert Schrieffer,Robert Schrieffer,NA,Robert,Robert,NA,Schrieffer,Schrieffer,NA,John Robert Schrieffer,John Robert Schrieffer,NA,1931-05-31,"Oak Park, IL","Oak Park, IL","Oak Park, IL",USA,USA,USA,"Oak Park, IL","Oak Park, IL","Oak Park, IL",USA,USA,USA,North America,"Oak Park, IL, USA","Oak Park, IL, USA","Oak Park, IL, USA",John_Robert_Schrieffer,https://en.wikipedia.org/wiki/John_Robert_Schrieffer,Q153201,https://www.wikidata.org/wiki/Q153201,laureate,https://api.nobelprize.org/2/laureate/96,Get,application/json,2019-07-27,"Tallahassee, FL","Tallahassee, FL","Tallahassee, FL",USA,USA,USA,"Tallahassee, FL","Tallahassee, FL","Tallahassee, FL",USA,USA,USA,North America,"Tallahassee, FL, USA","Tallahassee, FL, USA","Tallahassee, FL, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
709,male,NA,NA,NA,Robert W. Fogel,Robert W. Fogel,NA,Robert W.,Robert W.,NA,Fogel,Fogel,NA,Robert W. Fogel,Robert W. Fogel,NA,1927-07-01,"New York, NY","New York, NY","New York, NY",USA,USA,USA,"New York, NY","New York, NY","New York, NY",USA,USA,USA,North America,"New York, NY, USA","New York, NY, USA","New York, NY, USA",Robert_Fogel,https://en.wikipedia.org/wiki/Robert_Fogel,Q237821,https://www.wikidata.org/wiki/Q237821,laureate,https://api.nobelprize.org/2/laureate/709,Get,application/json,2013-06-11,"Oak Lawn, IL","Oak Lawn, IL","Oak Lawn, IL",USA,USA,USA,"Oak Lawn, IL","Oak Lawn, IL","Oak Lawn, IL",USA,USA,USA,North America,"Oak Lawn, IL, USA","Oak Lawn, IL, USA","Oak Lawn, IL, USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
