awardYear,sortOrder,portion,dateAwarded,prizeStatus,prizeAmount,prizeAmountAdjusted,category.en,category.no,category.se,categoryFullName.en,categoryFullName.no,categoryFullName.se,motivation.en,motivation.se,prizes.links.rel,prizes.links.href,prizes.links.action,prizes.links.types,id,motivation.no,topMotivation.en,topMotivation.se
1931,1,1,NA,received,173206,5333069,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,The poetry of Erik Axel Karlfeldt,Erik Axel Karlfeldts diktning,nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1931,Get,application/json,604,NA,NA,NA
1954,1,1,NA,received,181647,2688094,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style","för hans kraftfulla och inom nutida berättarkonst stilbildande mästerskap, senast ådagalagt i The Old Man and the Sea",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1954,Get,application/json,625,NA,NA,NA
1939,1,1,NA,received,148822,4304564,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,"for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements","för uppfinningen av cyklotronen, dess utveckling och med densamma vunna resultat, särskilt beträffande artificiellt radioaktiva element",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1939,Get,application/json,47,NA,NA,NA
1908,1,1,NA,received,139800,7212924,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances",för hans undersökningar rörande elementers sönderfallande och de radioaktiva ämnenenas kemi,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1908,Get,application/json,167,NA,NA,NA
1951,2,1/2,NA,received,167612,2734798,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles,för deras pionjärarbete vid genomförandet av kärnomvandlingar medelst artificiellt accelererade partiklar,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1951,Get,application/json,57,NA,NA,NA
1907,1,1/2,1907-12-10,received,138796,7161123,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,"for his work in the press and in peace meetings, both public and private, for an understanding between France and Italy",NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1907,Get,application/json,471,"for sitt arbeid i pressen og på fredsmøter, både offentlig og privat, for å skape forståelse mellom Frankrike og Italia",NA,NA
1945,2,1/3,NA,received,121333,2545326,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for the discovery of penicillin and its curative effect in various infectious diseases,för upptäckten av penicillinet och dess botande verkan vid olika infektionssjukdomar,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1945,Get,application/json,340,NA,NA,NA
1973,1,1/2,1973-10-23,received,510000,3392300,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds",för deras var för sig utförda pionjärarbeten över de metallorganiska så kallade sandwichföreningarnas kemi,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1973,Get,application/json,244,NA,NA,NA
1986,1,1/2,1986-10-15,received,2000000,4172678,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,"for his fundamental work in electron optics, and for the design of the first electron microscope",för hans fundamentala elektronoptiska arbeten och konstruktionen av det första elektronmikroskopet,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1986,Get,application/json,127,NA,NA,NA
1991,1,1/2,NA,received,6000000,8831149,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning the function of single ion channels in cells,för deras upptäckter rörande enskilda cellulära jonkanalers funktion,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1991,Get,application/json,444,NA,NA,NA
1933,1,1/2,NA,received,170332,5511251,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for the discovery of new productive forms of atomic theory,för upptäckandet av nya fruktbärande former av atomteorien,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1933,Get,application/json,39,NA,NA,NA
2019,2,1/3,2019-10-14,received,9000000,9000000,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,for their experimental approach to alleviating global poverty,för deras experimentella ansats för att mildra global fattigdom,nobelPrize,https://api.nobelprize.org/2/nobelPrize/eco/2019,Get,application/json,983,NA,NA,NA
2013,1,1/3,2013-10-14,received,8000000,8517568,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,for their empirical analysis of asset prices,för deras empiriska analys av tillgångspriser,nobelPrize,https://api.nobelprize.org/2/nobelPrize/eco/2013,Get,application/json,894,NA,NA,NA
1936,1,1,NA,received,159850,5002519,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy","för hans av kraft, ärlighet och stark känsla samt självständig, tragisk uppfattning präglade dramatik",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1936,Get,application/json,608,NA,NA,NA
1963,1,1/2,NA,received,265000,2890771,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,"for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles","för hans insatser inom teorien för atomkärnorna och elementarpartiklarna, särskilt genom upptäckten och tillämpningen av fundamentala symmetriprinciper",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1963,Get,application/json,78,NA,NA,NA
1975,1,1,1975-10-23,received,630000,3465908,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions",för hans särpräglade diktning som med stor konstnärlig känslighet tolkat humana värden i tecknet av en illusionsfri livssyn,nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1975,Get,application/json,651,NA,NA,NA
2012,1,1,2012-10-12,received,8000000,8512821,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,"for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe",NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/2012,Get,application/json,881,"for gjennom mer enn seks tiår bidratt til å fremme fred og forsoning, demokrati og menneskerettigheter i Europa",NA,NA
1974,1,1/2,NA,received,550000,3322627,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"for a narrative art, far-seeing in lands and ages, in the service of freedom",för en i länder och tider vittskådande berättarkonst i frihetens tjänst,nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1974,Get,application/json,649,NA,NA,NA
2016,2,1/4,2016-10-04,received,8000000,8451577,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for theoretical discoveries of topological phase transitions and topological phases of matter,för teoretiska upptäckter av topologiska fasövergångar och topologiska materiefaser,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/2016,Get,application/json,929,NA,NA,NA
1995,3,1/3,1995-10-11,received,7200000,9446598,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone","för deras arbeten inom atmosfärskemin, speciellt rörande bildning och nedbrytning av ozon",nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1995,Get,application/json,283,NA,NA,NA
1993,2,1/2,1993-10-15,received,6700000,9208279,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new  democratic South Africa",NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1993,Get,application/json,556,"for  arbeidet med å få til en fredelig avslutning av apartheid-regimet, og skape et fundament for et nytt, demokratisk Sør-Afrika",NA,NA
1952,1,1/2,NA,received,171135,2592831,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith,för deras utveckling av nya metoder för kärnmagnetiska precisionsmätningar och därmed gjorda upptäckter,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1952,Get,application/json,58,NA,NA,NA
1964,2,1/2,NA,received,273000,2879320,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism,för deras upptäckter rörande kolesterol - och fettsyreomsättningens mekanism och reglering,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1964,Get,application/json,379,NA,NA,NA
1909,2,1/2,NA,received,139800,7212924,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,in recognition of their contributions to the development of wireless telegraphy,såsom ett erkännande av deras förtjänster om den trådlösa telegrafiens utveckling,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1909,Get,application/json,14,NA,NA,NA
1927,1,1/2,1927-12-10,received,126501,3658946,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for their contribution to the emergence in France and Germany of a public opinion which favours peaceful international cooperation,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1927,Get,application/json,492,for deres bidrag til å skape en offentlig opinion i Frankrike og Tyskland i favør av fredelig internasjonalt samarbeid,NA,NA
1998,3,1/3,NA,received,7600000,9889843,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,för deras upptäckter rörande kväveoxid som en signalmolekyl i hjärtkärlsystemet,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1998,Get,application/json,460,NA,NA,NA
2004,1,1/2,2004-10-11,received,10000000,11976161,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles,för deras bidrag till dynamisk makroekonomisk teori: den ekonomiska politikens tidskonsistens och konjunkturens drivkrafter,nobelPrize,https://api.nobelprize.org/2/nobelPrize/eco/2004,Get,application/json,786,NA,NA,NA
2018,1,1/2,2018-10-03,received,9000000,9163200,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for the directed evolution of enzymes,för riktad evolution av enzymer,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/2018,Get,application/json,963,NA,NA,NA
1962,1,1/3,NA,received,257220,2888429,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,för deras upptäckt av nukleinsyrornas molekylära uppbyggnad och dess betydelse för informationsöverföring i levande materia,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1962,Get,application/json,372,NA,NA,NA
1922,1,1,NA,received,122483,3203014,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,"for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule",för hans medelst masspektrografen gjorda upptäckt av ett stort antal ej radioaktiva grundämnens isotopiförhållanden samt av den s.k. heltalslagen,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1922,Get,application/json,180,NA,NA,NA
1985,1,1,1985-10-15,received,1800000,3913667,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,for his pioneering analyses of saving and of financial markets,för hans grundläggande analyser av sparande och finansiella marknader,nobelPrize,https://api.nobelprize.org/2/nobelPrize/eco/1985,Get,application/json,699,NA,NA,NA
2013,1,1/2,2013-10-08,received,8000000,8517568,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider","”för den teoretiska upptäckten av en mekanism som bidrar till förståelsen av massans ursprung hos subatomära partiklar, och som nyligen, genom upptäckten av den förutsagda fundamentala partikeln, bekräftats av ATLAS- och CMS-experimenten vid CERN:s accele",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/2013,Get,application/json,887,NA,NA,NA
1965,1,1/3,NA,received,282000,2833358,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discoveries concerning genetic control of enzyme and virus synthesis,för deras upptäckter rörande genetisk styrning av enzym - och virussyntes,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1965,Get,application/json,380,NA,NA,NA
1952,1,1,NA,received,171135,2592831,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life,"för den genomträngande själskunskap och konstnärliga intensitet, varmed han i romanens form tolkat det mänskliga livsdramat",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1952,Get,application/json,623,NA,NA,NA
2008,2,1/4,2008-10-06,received,10000000,11124709,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discovery of human immunodeficiency virus,för deras upptäckt av humant immunbristvirus,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/2008,Get,application/json,824,NA,NA,NA
1929,1,1,1930-12-10,received,172760,4996952,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,for his crucial role in bringing about the Briand-Kellogg Pact,NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1929,Get,application/json,494,for sin avgjørende rolle i arbeidet med Briand-Kellogg-pakten,NA,NA
2004,3,1/3,2004-10-05,received,10000000,11976161,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for the discovery of asymptotic freedom in the theory of the strong interaction,för upptäckten av asymptotisk frihet i teorin för den starka växelverkan,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/2004,Get,application/json,778,NA,NA,NA
1939,1,1,NA,received,148822,4304564,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature,"för den djupa uppfattning och den utsökta stilkonst, varmed han skildrat sitt hemlands allmogeliv och natur i deras inbördes sammanhang",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1939,Get,application/json,613,NA,NA,NA
1935,1,1/2,NA,received,159917,5088026,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,in recognition of their synthesis of new radioactive elements,såsom ett erkännande för deras gemensamt utförda syntes av nya radioaktiva grundämnen,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1935,Get,application/json,193,NA,NA,NA
1904,1,1/2,NA,received,140859,7908819,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist","med avseende fäst å det ursprungsfriska, snillrika och sant konstnärliga i hans diktning, som troget avspeglar hans hembygds natur och folkliv, samt å hans betydelsefulla verksamhet som provençalsk filolog",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1904,Get,application/json,573,NA,NA,NA
1901,2,1/2,1901-12-10,received,150782,8722510,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,"for his lifelong work for international peace conferences, diplomacy and arbitration",NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1901,Get,application/json,463,"for sin  livslange innsats for internasjonale fredskonferanser, diplomati og voldgift",NA,NA
1954,3,1/3,NA,received,181647,2688094,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,för deras upptäckt av poliomyelitvirus förmåga att föröka sig i kulturer av vävnader av av olika slag,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1954,Get,application/json,358,NA,NA,NA
1923,1,1/2,NA,received,114935,3226631,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for the discovery of insulin,för upptäckten av insulin,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1923,Get,application/json,313,NA,NA,NA
1995,2,1/2,1995-10-11,received,7200000,9446598,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for the detection of the neutrino,för påvisandet av neutrinon,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1995,Get,application/json,148,NA,for pioneering experimental contributions to lepton physics,NA
1958,1,1,NA,received,214559,2694692,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,"for his work on the structure of proteins, especially that of insulin",för deras insatser rörande bassekvensbestämning i nukleinsyror,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1958,Get,application/json,222,NA,NA,NA
1980,3,1/4,1980-10-14,received,880000,2942067,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for their contributions concerning the determination of base sequences in nucleic acids,för deras insatser rörande bassekvensbestämning i nukleinsyror,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1980,Get,application/json,222,NA,NA,NA
1921,1,1,NA,received,121573,2578698,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,"for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes",för hans bidrag till kännedom om de radioaktiva ämnenas kemi och hans undersökningar rörande isotopers förekomst och natur,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1921,Get,application/json,179,NA,NA,NA
1908,2,1/2,1908-12-10,received,139800,7212924,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1908,Get,application/json,474,"for deres langvarige arbeid for fredssaken som politikere, ledere av fredsforeninger, talere og forfattere",NA,NA
1922,1,1,1922-12-10,received,122483,3203014,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,"for his leading role in the repatriation of prisoners of war, in international relief work and as the League of Nations' High Commissioner for refugees",NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1922,Get,application/json,487,"for sin ledende rolle i forbindelse med tilbakesendelsen av krigsfanger, internasjonalt hjelpearbeid og rollen som Folkeforbundets høykommissær for flyktninger",NA,NA
1931,2,1/2,NA,received,173206,5333069,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,in recognition of their contributions to the invention and development of chemical high pressure methods,för deras förtjänster om kemiska högtrycksmetoders uppkomst och utveckling,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1931,Get,application/json,190,NA,NA,NA
1974,2,1/2,1974-10-09,received,550000,3322627,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,"for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena","för deras pionjärarbete inom penning- och konjunkturteori samt deras inträngande analys av det ömsesidiga beroendet mellan ekonomiska, sociala och institutionella förhållanden",nobelPrize,https://api.nobelprize.org/2/nobelPrize/eco/1974,Get,application/json,685,NA,NA,NA
1947,1,1/2,1947-10-30,received,146115,2967378,Peace,Fred,Fred,The Nobel Peace Prize,Nobels fredspris,Nobels fredspris,"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations",NA,nobelPrize,https://api.nobelprize.org/2/nobelPrize/pea/1947,Get,application/json,508,for deres banebrytende arbeid i den internasjonale fredsbevegelsen og medmenneskelige innsats for å lindre menneskelig lidelse og derigjennom fremme brorskap mellom nasjoner,NA,NA
1953,1,1,NA,received,175293,2614331,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,"for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope","för den av honom angivna faskontrastmetoden, särskilt för hans uppfinning av faskontrastmikroskopet",nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1953,Get,application/json,60,NA,NA,NA
1918,1,1,NA,received,138198,2899121,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for the synthesis of ammonia from its elements,för hans syntes av ammoniak ur dess element,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1918,Get,application/json,177,NA,NA,NA
1953,2,1/2,NA,received,175293,2614331,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for his discovery of co-enzyme A and its importance for intermediary metabolism,för hans upptäckt av coenzym A och dess betydelse för den intermediära ämnesomsättningen,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1953,Get,application/json,355,NA,NA,NA
1923,1,1,NA,received,114935,3226631,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,for his invention of the method of micro-analysis of organic substances,för den av honom uppfunna mikroanalysen av organiska ämnen,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1923,Get,application/json,181,NA,NA,NA
1982,1,1,NA,received,1150000,3158777,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts","för hans romaner och noveller, där det fantastiska och det realistiska förenas i en rikt sammansatt diktvärld, som speglar en kontinents liv och konflikter",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1982,Get,application/json,659,NA,NA,NA
1908,1,1,NA,received,139800,7212924,Physics,Fysikk,Fysik,The Nobel Prize in Physics,Nobelprisen i fysikk,Nobelpriset i fysik,for his method of reproducing colours photographically based on the phenomenon of interference,för hans på interferensfenomenet grundade metod att fotografiskt återgiva färger,nobelPrize,https://api.nobelprize.org/2/nobelPrize/phy/1908,Get,application/json,12,NA,NA,NA
1945,1,1,NA,received,121333,2545326,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world","för den av mäktig känsla inspirerade lyrik, som gjort hennes diktarnamn till en symbol för hela den latinamerikanska världens ideella strävanden",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/1945,Get,application/json,615,NA,NA,NA
2000,1,1,2000-10-12,received,9000000,11538617,Literature,Litteratur,Litteratur,The Nobel Prize in  Literature,Nobelprisen i litteratur,Nobelpriset i litteratur,"for an &aelig;uvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama","för ett verk av universell giltighet, bitter insikt och språklig sinnrikhet, som öppnat nya vägar för kinesisk romankonst och dramatik",nobelPrize,https://api.nobelprize.org/2/nobelPrize/lit/2000,Get,application/json,734,NA,NA,NA
1992,1,1,1992-10-13,received,6500000,9350791,Economic Sciences,Økonomi,Ekonomi,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,Sveriges Riksbanks pris i økonomisk vitenskap til minne om Alfred Nobel,Sveriges Riksbanks pris i ekonomisk vetenskap till Alfred Nobels minne,"for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour","för att ha vidgat tillämpningen av mikroekonomisk analys till att gälla ett brett område av individers beteenden och relationer, även utanför marknaden",nobelPrize,https://api.nobelprize.org/2/nobelPrize/eco/1992,Get,application/json,708,NA,NA,NA
1973,2,1/2,1973-10-23,received,510000,3392300,Chemistry,Kjemi,Kemi,The Nobel Prize in Chemistry,Nobelprisen i kjemi,Nobelpriset i kemi,"for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds",för deras var för sig utförda pionjärarbeten över de metallorganiska så kallade sandwichföreningarnas kemi,nobelPrize,https://api.nobelprize.org/2/nobelPrize/che/1973,Get,application/json,245,NA,NA,NA
1961,1,1,NA,received,250233,2930643,Physiology or Medicine,Fysiologi eller medisin,Fysiologi eller medicin,The Nobel Prize in Physiology or Medicine,Nobelprisen i fysiologi eller medisin,Nobelpriset i fysiologi eller medicin,for his discoveries of the physical mechanism of stimulation within the cochlea,för hans upptäckter rörande de fysikaliska retningsmekanismerna i örats snäcka,nobelPrize,https://api.nobelprize.org/2/nobelPrize/med/1961,Get,application/json,371,NA,NA,NA
